des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2007 HW4,10,2440253.092960621,1969-Jan-31 14:14,0.0154060471978112,0.0152653523230846,0.0155468284855919,18.4232928018287,18.4222841074571,00:10,23.6,       (2007 HW4)
2017 ST16,6,2440253.175975802,1969-Jan-31 16:13,0.0432118001505868,0.038698792258212,0.0910769070969231,6.62561974443381,6.62461972118567,1_06:19,24.2,       (2017 ST16)
2012 DY13,7,2440260.934140709,1969-Feb-08 10:25,0.0511577479862367,0.0404239355764699,0.0644883623057186,14.6750274894779,14.6746461414647,06:07,27.8,       (2012 DY13)
2011 UM169,10,2440291.209106184,1969-Mar-10 17:01,0.0396727190697857,0.01942129509428,0.0900475511796156,11.9824274933552,11.9818252384798,5_08:45,25.0,       (2011 UM169)
215588,98,2440307.341634532,1969-Mar-26 20:12,0.0453252359292488,0.0453247708592088,0.045325701000662,15.7764207389143,15.7760203674243,< 00:01,19.4,215588 (2003 HF2)
5645,141,2440326.195123430,1969-Apr-14 16:41,0.0133492153289087,0.0133485632794364,0.0133498673822638,11.2208002979014,11.2188888449726,< 00:01,17.1,  5645 (1990 SP)
385843,38,2440336.090390275,1969-Apr-24 14:10,0.0481798683367558,0.0481794840166314,0.0481802526569926,7.30306647565726,7.3022527846452,< 00:01,20.5,385843 (2006 JY25)
2016 WA9,8,2440350.450415587,1969-May-08 22:49,0.0284248446722878,0.0284151034706652,0.0284345963972545,7.83663559498942,7.83535026674488,< 00:01,21.7,       (2016 WA9)
85774,161,2440352.050682595,1969-May-10 13:13,0.049628986879227,0.049628849603771,0.0496291241558396,10.6882642358951,10.6877245083777,< 00:01,19.1, 85774 (1998 UT18)
2014 MJ6,17,2440391.774178571,1969-Jun-19 06:35,0.0488991225557056,0.0488971826452376,0.0489010624662182,14.4249349978649,14.4245291181321,< 00:01,21.6,       (2014 MJ6)
2013 EL28,33,2440419.773907429,1969-Jul-17 06:34,0.0418686212919329,0.0396537656194498,0.0539257135205963,10.8854947338145,10.8848665570246,1_14:37,22.4,       (2013 EL28)
484506,48,2440420.908335214,1969-Jul-18 09:48,0.0400063785512427,0.0400044831654592,0.0400082739392116,15.6391911942301,15.6387336121469,< 00:01,20.0,484506 (2008 ER7)
2018 YA3,34,2440435.001682434,1969-Aug-01 12:02,0.0453685125366341,0.0451484812162066,0.045588546666179,9.16941450681384,9.16872628831967,00:04,22.7,       (2018 YA3)
2016 PT38,6,2440467.252561636,1969-Sep-02 18:04,0.0237725386773541,0.0197353543347361,0.092808176639307,13.4883651716822,13.4874723069203,1_16:21,23.4,       (2016 PT38)
2014 QY432,7,2440489.077752686,1969-Sep-24 13:52,0.033184584978459,0.0308652196940047,0.0878345800913731,11.7455520200292,11.7448174893436,5_14:26,20.9,       (2014 QY432)
2014 YS43,11,2440498.827521716,1969-Oct-04 07:52,0.0372410876112518,0.0244700900661916,0.0637776206052181,24.713092638346,24.7127815673878,1_04:09,20.2,       (2014 YS43)
376788,67,2440506.136117795,1969-Oct-11 15:16,0.0485848526065057,0.0485840622126525,0.0485856430472089,13.389207982885,13.3887678766237,< 00:01,19.4,376788 (2000 RV37)
363344,36,2440511.251273085,1969-Oct-16 18:02,0.0330409993509921,0.0330214232240034,0.0330605779961602,11.8124389711291,11.8117054258617,< 00:01,20.0,363344 (2002 QC7)
2016 EP1,26,2440524.625677131,1969-Oct-30 03:01,0.0468193056709292,0.0457937070363815,0.0944542763404124,12.6359386548563,12.6354547254363,2_10:41,22.2,       (2016 EP1)
161998,117,2440528.600546821,1969-Nov-03 02:25,0.0460572936487422,0.04605529001926,0.0460592973998565,7.34739422571493,7.34654816908219,< 00:01,17.5,161998 (1988 PA)
2016 DK1,22,2440536.907942249,1969-Nov-11 09:47,0.05229236764998,0.0428195363981271,0.122693584125238,8.62724672634199,8.62661210943795,17:18,27.5,       (2016 DK1)
409266,37,2440547.629568443,1969-Nov-22 03:07,0.0410549612988343,0.0410539277800203,0.0410559949717824,9.39133714872763,9.39059459090514,< 00:01,21.2,409266 (2004 RK9)
2017 AT4,12,2440557.179086293,1969-Dec-01 16:18,0.0453007624085293,0.0350078042497569,0.0581266979608103,7.33934715779273,7.33848602778443,11:32,26.6,       (2017 AT4)
2017 DA36,20,2440560.300027739,1969-Dec-04 19:12,0.041013218519187,0.00221789012448922,0.128758529472318,6.36197781062367,6.36088050491229,6_00:06,25.1,       (2017 DA36)
2006 BE55,24,2440600.763354653,1970-Jan-14 06:19,0.0436508680713511,0.0436504345153156,0.0436513016343615,8.53781429356877,8.53704607263599,< 00:01,21.9,       (2006 BE55)
2016 JX5,6,2440627.675313595,1970-Feb-10 04:12,0.024521353854652,0.0112487940306268,0.144696066874959,9.3706140429067,9.36936802992555,12:42,26.9,       (2016 JX5)
172974,49,2440648.764942698,1970-Mar-03 06:22,0.0216908496452556,0.0216752464896681,0.0217064608292739,8.98544022747274,8.98397121404434,00:02,19.3,172974 (2005 YW55)
2014 WP201,11,2440659.397592967,1970-Mar-13 21:33,0.0089644209321706,0.00896287960622043,0.00896596363909579,18.2881144304699,18.2863680625233,< 00:01,20.4,       (2014 WP201)
2017 KS31,10,2440661.832587522,1970-Mar-16 07:59,0.0344614231844593,0.0343939690497404,0.0345288841848645,5.95692872500697,5.95553395878795,00:03,21.7,       (2017 KS31)
2015 VD66,24,2440682.463041256,1970-Apr-05 23:07,0.0280849858837247,0.0280207158730878,0.028149311265615,10.9040958771527,10.9031609862506,00:02,20.0,       (2015 VD66)
2007 YM56,24,2440683.959868496,1970-Apr-07 11:02,0.0439043888306887,0.0439024328769836,0.0439063450381966,8.62938545338431,8.62862977430583,< 00:01,22.3,       (2007 YM56)
2006 SR131,12,2440687.302506819,1970-Apr-10 19:16,0.0490881981364759,0.0356899027728559,0.0749343672581736,5.6099965207574,5.60895682385616,2_12:49,28.0,       (2006 SR131)
2014 XL7,18,2440696.419180213,1970-Apr-19 22:04,0.0145137687533687,0.0136955208229156,0.0153368878377617,11.2550970198586,11.2533443078535,01:04,21.0,       (2014 XL7)
2019 CK4,11,2440726.238570056,1970-May-19 17:44,0.0400539936456263,0.0232118357240386,0.168814400633386,16.2228186525528,16.2223780571653,9_01:53,23.4,       (2019 CK4)
172678,52,2440736.932708914,1970-May-30 10:23,0.0360501970314763,0.0360051011902389,0.0360952976592715,19.5787253846725,19.5783197653569,00:04,18.7,172678 (2003 YM137)
2013 VA10,23,2440761.978127441,1970-Jun-24 11:29,0.0533775330529214,0.0533744837095202,0.0533805827149095,18.1780073488843,18.1777122925527,< 00:01,22.2,       (2013 VA10)
2015 GC14,18,2440772.123098942,1970-Jul-04 14:57,0.0258308258827227,0.0111959502199773,0.123442626737914,9.21201053630777,9.21080732520156,5_03:18,24.8,       (2015 GC14)
2009 BC58,25,2440786.996865085,1970-Jul-19 11:55,0.0366035166792517,0.0365930935626932,0.0366139402491006,9.50869034593562,9.50786775966719,00:09,18.8,       (2009 BC58)
2009 WP6,7,2440788.268156819,1970-Jul-20 18:26,0.0433347819047234,0.0194804097747719,0.30818278104592,16.3370108936504,16.3366065018435,4_16:32,26.8,       (2009 WP6)
2019 KL2,2,2440801.339087616,1970-Aug-02 20:08,0.0240902635375855,0.0138331264803595,0.0419337909805866,8.6636853421937,8.662313524659,1_08:39,27.5,       (2019 KL2)
2017 BP31,52,2440805.667394897,1970-Aug-07 04:01,0.00567196304092926,0.00566987074363832,0.00567406046800384,18.4250880797329,18.4223484270375,< 00:01,19.8,       (2017 BP31)
2020 UE,8,2440864.275952025,1970-Oct-04 18:37,0.0176103088433628,0.0163821058926753,0.184042424146876,9.79453453950295,9.79287460017328,6_10:59,25.555,       (2020 UE)
2019 BK2,2,2440924.016501784,1970-Dec-03 12:24,0.0219821127939517,0.0215936163012638,0.141681439316937,8.21850070815671,8.21691586592945,8_19:26,26.8,       (2019 BK2)
505093,49,2440967.662365051,1971-Jan-16 03:54,0.0143933720066139,0.0143828968938536,0.0144038471210986,11.7140286520891,11.7123305303004,00:02,20.1,505093 (2011 VQ5)
2017 VD14,10,2440996.928554553,1971-Feb-14 10:17,0.0170142221376957,0.0142455984762585,0.0290008366223609,7.51755245984344,7.51531382999974,02:24,26.1,       (2017 VD14)
2017 UP43,8,2440998.737462990,1971-Feb-16 05:42,0.0159179258149311,0.0147304560784528,0.0314845141919224,5.42268156286501,5.41936385239017,01:30,26.4,       (2017 UP43)
2017 MB5,8,2440998.808985075,1971-Feb-16 07:25,0.0441162866458889,0.0441104403313783,0.0441221361754352,7.84451341256596,7.84368611046263,00:01,22.7,       (2017 MB5)
2015 BG4,23,2441002.317016618,1971-Feb-19 19:37,0.0266863396832128,0.0266846970534521,0.0266879825105266,10.6219375184975,10.6209274889395,< 00:01,26.4,       (2015 BG4)
2011 WB39,7,2441023.080097728,1971-Mar-12 13:55,0.0469149613358839,0.0321941153475433,0.182441445558564,13.6224535573335,13.6220055897079,7_05:15,23.5,       (2011 WB39)
2008 JM20,17,2441060.543260498,1971-Apr-19 01:02,0.0523322033648514,0.0523050546918107,0.052359389392948,14.5085126852004,14.5081356169931,00:01,21.0,       (2008 JM20)
2015 DD54,14,2441071.020498199,1971-Apr-29 12:30,0.0432799736021527,0.0407584485595242,0.045801945775837,13.6706636176008,13.670179738028,02:55,25.4,       (2015 DD54)
138404,83,2441074.915872685,1971-May-03 09:59,0.0227068371681128,0.0227064156284389,0.022707258719775,6.31432981153575,6.31233275222899,< 00:01,19.1,138404 (2000 HA24)
2008 FO,18,2441082.084900687,1971-May-10 14:02,0.0376644143904302,0.00849459875615461,0.107598420847857,6.85116258505713,6.85005303765227,3_03:11,23.2,       (2008 FO)
