des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2014 QE365,13,2440259.767436435,1969-Feb-07 06:25,0.0372984065885358,0.0372959706533624,0.0373008463680377,18.9426339699143,18.9424255227855,< 00:01,21.0,       (2014 QE365)
2014 YR15,21,2440299.370839660,1969-Mar-18 20:54,0.0405218516981901,0.0404089501249926,0.0406349002654345,19.4810513085351,19.4808647459372,00:16,21.5,       (2014 YR15)
418265,32,2440300.520040311,1969-Mar-20 00:29,0.0236772420843778,0.0236563513293885,0.0236981526874384,24.9702516030217,24.9700025038362,00:02,16.4,418265 (2008 EA32)
467460,42,2440333.785704710,1969-Apr-22 06:51,0.00504175129192704,0.00501314516988271,0.00507039521057314,14.2173024198333,14.215247679535,00:05,19.2,467460 (2006 JF42)
363027,85,2440356.096734480,1969-May-14 14:19,0.00627154480058118,0.0062688165608244,0.00627427566288759,25.6317764637421,25.6308602881869,< 00:01,19.5,363027 (1998 ST27)
481442,51,2440366.774095220,1969-May-25 06:35,0.0512128637869329,0.0511887079591675,0.051237026440484,28.8056669266644,28.8055670950877,00:02,21.6,481442 (2006 WO3)
252399,60,2440367.333073118,1969-May-25 20:00,0.0215622818509663,0.0215604039892097,0.0215641597330887,17.9259880936776,17.9256070708747,< 00:01,19.4,252399 (2001 TX44)
2005 BT1,16,2440390.166923506,1969-Jun-17 16:00,0.0243316794268958,0.0242302732621784,0.0244331213902996,55.2031553587376,55.2030457137918,00:05,19.0,       (2005 BT1)
137805,218,2440398.290247035,1969-Jun-25 18:58,0.0511646540713664,0.051162800259524,0.0511665078832525,34.4641045563916,34.4640210369352,< 00:01,16.7,137805 (1999 YK5)
234341,69,2440405.724548718,1969-Jul-03 05:23,0.0306402838723207,0.0306335941779735,0.0306469760704763,21.2993017253513,21.2990760582115,< 00:01,18.9,234341 (2001 FZ57)
2020 DK,6,2440406.121575428,1969-Jul-03 14:55,0.0478294466897944,0.0423498582796547,0.192152872470771,23.4960039248235,23.4958728751261,5_21:00,26.03,       (2020 DK)
162195,35,2440431.045048890,1969-Jul-28 13:05,0.0405238476298899,0.0405223422692363,0.0405253531526532,12.7407188920474,12.7404336428517,< 00:01,19.2,162195 (1999 RK45)
255071,46,2440437.494572379,1969-Aug-03 23:52,0.0389114485127067,0.0388555491886551,0.0389674397606218,29.6282079882608,29.6280802437264,00:06,18.2,255071 (2005 UH6)
2013 ND15,9,2440438.900047832,1969-Aug-05 09:36,0.0231565497348928,0.00976178331369955,0.0401996246643853,16.2449742559479,16.2445827516547,2_15:40,24.1,       (2013 ND15)
418265,32,2440477.236617060,1969-Sep-12 17:41,0.0367317621477891,0.0367079175714797,0.0367556177522864,25.777208598797,25.7770530567411,00:02,16.4,418265 (2008 EA32)
2017 YH,14,2440486.415927794,1969-Sep-21 21:59,0.0208053333005173,0.0201855529621239,0.0214285776726828,31.2466369344974,31.246410392988,00:37,18.4,       (2017 YH)
276703,55,2440492.895451947,1969-Sep-28 09:29,0.00908133179005705,0.00907473079374583,0.0090879351692645,35.0185205997247,35.0180574944709,< 00:01,19.1,276703 (2004 BL11)
2004 TD10,30,2440535.871611659,1969-Nov-10 08:55,0.00633784001656945,0.006330398236371,0.00634528193825854,12.235365150523,12.233465823809,00:06,22.1,       (2004 TD10)
2017 WV13,16,2440545.518354057,1969-Nov-20 00:26,0.0332994127052937,0.0291846002825868,0.0377686718595886,26.2455375544298,26.2453690413864,09:01,21.1,       (2017 WV13)
477465,35,2440560.583268447,1969-Dec-05 02:00,0.0229734360234955,0.0229714918739787,0.022975381190767,24.1935845407372,24.1933195684964,< 00:01,21.7,477465 (2009 XZ1)
2012 DR32,17,2440568.557569488,1969-Dec-13 01:23,0.0537915234989285,0.0537883029850853,0.0537947440952683,23.2053862483609,23.2052682644924,< 00:01,24.8,       (2012 DR32)
2018 DA1,7,2440573.393086092,1969-Dec-17 21:26,0.0307885678471437,0.0307823762035459,0.030794764191176,30.7325988712032,30.7324432257284,00:01,18.8,       (2018 DA1)
2006 GV2,15,2440581.512555261,1969-Dec-26 00:18,0.0450340170012231,0.045020888330473,0.0450471480863772,36.3679711895124,36.3678812677212,< 00:01,19.6,       (2006 GV2)
2016 TH10,13,2440614.465541598,1970-Jan-27 23:10,0.0382128448722823,0.0379310044859807,0.039457584013799,14.9636581888785,14.9634006274877,2_00:29,24.9,       (2016 TH10)
2015 XQ55,25,2440620.910874415,1970-Feb-03 09:52,0.0369565777315035,0.0367727642380061,0.0371406120092401,24.089085243314,24.0889198135656,00:25,21.8,       (2015 XQ55)
2007 WM3,10,2440636.021697704,1970-Feb-18 12:31,0.0136164664911501,0.0135928196823538,0.0136401420781446,14.069198626456,14.068429846136,00:19,23.1,       (2007 WM3)
308043,85,2440644.108798352,1970-Feb-26 14:37,0.0520791198928155,0.0520778816167236,0.0520803585745974,43.0966410981215,43.0965754809591,< 00:01,18.6,308043 (2004 TH10)
418265,32,2440653.904020126,1970-Mar-08 09:42,0.0508473571670979,0.0508224644535351,0.0508722576947173,26.698076396744,26.6979679099937,00:02,16.4,418265 (2008 EA32)
2015 FW284,4,2440669.814321769,1970-Mar-24 07:33,0.0394308794429639,0.0253567003693239,0.108215117887324,25.222543840408,25.2223957591483,2_07:55,24.9,       (2015 FW284)
1994 GL,20,2440674.983173499,1970-Mar-29 11:36,0.0450662921933361,0.0450523553866189,0.0450802294878539,21.7783723863948,21.7782223321025,< 00:01,24.4,       (1994 GL)
289227,30,2440691.525665257,1970-Apr-15 00:37,0.0424153623779287,0.0423465414871608,0.0424841832726026,64.6948074505603,64.6947537805414,00:02,18.9,289227 (2004 XY60)
2007 TL5,7,2440701.036240469,1970-Apr-24 12:52,0.0435185799828933,0.0210752857016301,0.144307577041961,33.9635033455755,33.9634037046819,4_05:35,25.9,       (2007 TL5)
2019 AP6,13,2440722.821007314,1970-May-16 07:42,0.0446516881401285,0.042905013258729,0.046474640648536,18.8926818377497,18.8925072576702,05:47,21.2,       (2019 AP6)
313276,40,2440734.316162660,1970-May-27 19:35,0.0363470469165821,0.036343021402267,0.0363510728980629,33.9971486303677,33.997029447643,< 00:01,19.7,313276 (2002 AX1)
2006 AM8,17,2440738.633740149,1970-Jun-01 03:13,0.019454512060346,0.0192779942686162,0.0196348411462844,31.2227431497154,31.2225006928638,00:28,19.5,       (2006 AM8)
139289,108,2440775.522498375,1970-Jul-08 00:32,0.0206414557129008,0.0206376156572206,0.0206452961489971,37.6208146590735,37.6206250073687,< 00:01,17.6,139289 (2001 KR1)
2016 VA,4,2440800.624784739,1970-Aug-02 03:00,0.0513360858884054,0.0510628614116355,0.10924301466533,30.8870766685692,30.8869837879145,3_09:06,27.6,       (2016 VA)
2015 SY,19,2440801.846144759,1970-Aug-03 08:18,0.0291941862974585,0.0291855228176222,0.029202855245546,16.1554143559998,16.1551020977689,00:03,23.3,       (2015 SY)
66146,287,2440809.432313512,1970-Aug-10 22:23,0.0505761111852478,0.0505746016151069,0.050577620816866,18.2647800194859,18.2646205909013,< 00:01,14.5, 66146 (1998 TU3)
