,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
0,Ryugu,1.19,82.76 billion,APO (PHA),82.76,billion,C_Low Metal Content,82760000000.0
1,1989 ML,1.272,13.94 billion,AMO,13.94,billion,C_Low Metal Content,13940000000.0
2,Nereus,1.489,4.71 billion,APO (PHA),4.71,billion,C_Low Metal Content,4710000000.0
3,Bennu,1.126,669.96 million,APO (PHA),669.96,million,D_Very low Content,669960000.0
4,Didymos,1.6440000000000001,62.25 billion,APO (PHA),62.25,billion,C_Low Metal Content,62250000000.0
5,2011 UW158,1.621,6.69 billion,APO (PHA),6.69,billion,C_Low Metal Content,6690000000.0
6,Anteros,1.43,5.57 trillion,AMO,5.57,trillion,B_Metal Content,5570000000000.0
7,2001 CC21,1.032,147.04 billion,APO,147.04,billion,C_Low Metal Content,147040000000.0
8,1992 TC,1.5659999999999998,84.01 billion,AMO,84.01,billion,C_Low Metal Content,84010000000.0
9,2001 SG10,1.449,3.05 billion,APO (PHA),3.05,billion,C_Low Metal Content,3050000000.0
10,2002 DO3,1.86,334.44 million,APO (PHA),334.44,million,D_Very low Content,334440000.0
11,2000 CE59,1.137,10.65 billion,APO (PHA),10.65,billion,C_Low Metal Content,10650000000.0
12,1995 BC2,1.9169999999999998,78.87 billion,AMO,78.87,billion,C_Low Metal Content,78870000000.0
13,1991 DB,1.715,168.20 billion,AMO,168.2,billion,C_Low Metal Content,168200000000.0
14,2000 RW37,1.248,29.27 billion,APO (PHA),29.27,billion,C_Low Metal Content,29270000000.0
15,1998 UT18,1.4040000000000001,644.70 billion,APO (PHA),644.7,billion,C_Low Metal Content,644700000000.0
16,Seleucus,2.033,33.52 trillion,AMO,33.52,trillion,B_Metal Content,33520000000000.004
17,1998 KU2,2.252,80.32 trillion,APO,80.32,trillion,B_Metal Content,80320000000000.0
18,1989 UQ,0.915,600.73 billion,ATE (PHA),600.73,billion,C_Low Metal Content,600730000000.0
19,1999 KV4,1.54,25.68 trillion,APO,25.68,trillion,B_Metal Content,25680000000000.0
20,1988 XB,1.4680000000000002,217.07 billion,APO (PHA),217.07,billion,C_Low Metal Content,217070000000.0
21,1997 RT,2.247,174.31 billion,AMO,174.31,billion,C_Low Metal Content,174310000000.0
22,1997 XF11,1.443,383.99 billion,APO (PHA),383.99,billion,C_Low Metal Content,383990000000.0
23,1996 FG3,1.054,1.33 trillion,APO (PHA),1.33,trillion,B_Metal Content,1330000000000.0
24,1992 QN,1.19,253.70 billion,APO,253.7,billion,C_Low Metal Content,253700000000.0
25,2001 TY44,2.358,3.50 billion,AMO,3.5,billion,C_Low Metal Content,3500000000.0
26,1999 JV6,1.008,12.03 billion,APO (PHA),12.03,billion,C_Low Metal Content,12030000000.0
27,2002 EA,1.3780000000000001,672.12 million,APO,672.12,million,D_Very low Content,672120000.0
