,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
0,Ryugu,1.19,82.76 billion,APO (PHA),82.76,billion,C_Low Metal Content,82760000000.0
3,Bennu,1.126,669.96 million,APO (PHA),669.96,million,D_Very low Content,669960000.0
7,2001 CC21,1.032,147.04 billion,APO,147.04,billion,C_Low Metal Content,147040000000.0
11,2000 CE59,1.137,10.65 billion,APO (PHA),10.65,billion,C_Low Metal Content,10650000000.0
18,1989 UQ,0.915,600.73 billion,ATE (PHA),600.73,billion,C_Low Metal Content,600730000000.0
23,1996 FG3,1.054,1.33 trillion,APO (PHA),1.33,trillion,B_Metal Content,1330000000000.0
24,1992 QN,1.19,253.70 billion,APO,253.7,billion,C_Low Metal Content,253700000000.0
26,1999 JV6,1.008,12.03 billion,APO (PHA),12.03,billion,C_Low Metal Content,12030000000.0
29,2005 YU55,1.157,49.84 billion,APO (PHA),49.84,billion,C_Low Metal Content,49840000000.0
30,1992 BF,0.9079999999999999,2.90 billion,ATE,2.9,billion,C_Low Metal Content,2900000000.0
38,2000 CO101,1.0759999999999998,29.27 billion,APO (PHA),29.27,billion,C_Low Metal Content,29270000000.0
58,Vishnu,1.06,242.46 billion,APO (PHA),242.46,billion,C_Low Metal Content,242460000000.0
66,1997 US9,1.053,67.65 million,APO,67.65,million,D_Very low Content,67650000.0
69,Ra-Shalom,0.8320000000000001,1.76 trillion,ATE,1.76,trillion,B_Metal Content,1760000000000.0
70,1997 AQ18,1.147,329.46 billion,APO,329.46,billion,C_Low Metal Content,329460000000.0
71,1999 HF1,0.8190000000000001,9.21 trillion,ATE,9.21,trillion,B_Metal Content,9210000000000.0
72,1999 YK5,0.8290000000000001,7.66 trillion,ATE,7.66,trillion,B_Metal Content,7660000000000.0
73,1999 JD6,0.883,4.77 trillion,ATE (PHA),4.77,trillion,B_Metal Content,4770000000000.0
74,2000 WO107,0.912,17.40 billion,ATE (PHA),17.4,billion,C_Low Metal Content,17400000000.0
75,1997 AC11,0.9129999999999999,2.92 billion,ATE,2.92,billion,C_Low Metal Content,2920000000.0
76,2000 EA107,0.93,1.06 billion,ATE,1.06,billion,C_Low Metal Content,1060000000.0
77,2000 CK33,0.968,63.73 billion,ATE,63.73,billion,C_Low Metal Content,63730000000.0
81,Cruithne,0.998,2.12 billion,ATE,2.12,billion,C_Low Metal Content,2120000000.0
82,1999 FB,1.18,175.38 million,APO,175.38,million,D_Very low Content,175380000.0
84,Izhdubar,1.0070000000000001,801.64 million,APO,801.64,million,D_Very low Content,801640000.0
85,2001 XS30,1.165,139.84 billion,APO,139.84,billion,C_Low Metal Content,139840000000.0
86,2000 YH66,1.173,73.17 billion,APO,73.17,billion,C_Low Metal Content,73170000000.0
986,2002 AL31,1.177,10.58 million,APO,10.58,million,D_Very low Content,10580000.0
988,2000 AC6,0.853,1.30 million,ATE (PHA),1.3,million,D_Very low Content,1300000.0
1607,Tukmit,1.186,0,APO,0.0,zero,E_No Metal identified,0.0
1632,1991 CS,1.123,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1656,Cerberus,1.08,0,APO,0.0,zero,E_No Metal identified,0.0
1660,Bacchus,1.078,0,APO,0.0,zero,E_No Metal identified,0.0
1664,Aten,0.9670000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
1674,1991 VH,1.137,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1677,2000 EX106,1.104,0,APO,0.0,zero,E_No Metal identified,0.0
1679,1998 XB,0.9079999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
1682,2002 AL14,1.038,0,APO,0.0,zero,E_No Metal identified,0.0
1685,1994 AW1,1.105,0,AMO (PHA),0.0,zero,E_No Metal identified,0.0
1690,Tomaiyowit,1.08,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1701,1997 UH9,0.83,0,ATE,0.0,zero,E_No Metal identified,0.0
1702,1998 VR,0.8759999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
1712,1992 FE,0.927,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
1713,1998 MW5,1.023,0,APO,0.0,zero,E_No Metal identified,0.0
1716,2000 GJ147,1.162,0,APO (PHA),0.0,zero,E_No Metal identified,0.0
1722,1994 TF2,0.993,0,ATE,0.0,zero,E_No Metal identified,0.0
1726,2001 XY10,0.872,0,ATE,0.0,zero,E_No Metal identified,0.0
1730,2002 AA,1.148,0,APO,0.0,zero,E_No Metal identified,0.0
