name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Ryugu,Cg,1.19,0.19,82.76 billion,30.08 billion,4.663,APO (PHA)
1989 ML,X,1.272,0.137,13.94 billion,4.38 billion,4.889,AMO
Nereus,Xe,1.489,0.36,4.71 billion,1.39 billion,4.987,APO (PHA)
Bennu,B,1.126,0.204,669.96 million,185.00 million,5.096,APO (PHA)
Didymos,Xk,1.644,0.384,62.25 billion,16.41 billion,5.162,APO (PHA)
2011 UW158,Xc,1.621,0.376,6.69 billion,1.74 billion,5.189,APO (PHA)
Anteros,L,1.43,0.256,5.57 trillion,1.25 trillion,5.44,AMO
2001 CC21,L,1.032,0.219,147.04 billion,29.77 billion,5.636,APO
1992 TC,X,1.566,0.292,84.01 billion,16.78 billion,5.648,AMO
2001 SG10,X,1.449,0.424,3.05 billion,544.48 million,5.88,APO (PHA)
2002 DO3,X,1.86,0.499,334.44 million,59.03 million,5.896,APO (PHA)
2000 CE59,L,1.137,0.167,10.65 billion,1.80 billion,6.015,APO (PHA)
1995 BC2,X,1.917,0.43,78.87 billion,13.22 billion,6.01,AMO
1991 DB,C,1.715,0.402,168.20 billion,26.68 billion,6.146,AMO
2000 RW37,C,1.248,0.25,29.27 billion,4.53 billion,6.225,APO (PHA)
1998 UT18,C,1.404,0.329,644.70 billion,99.62 billion,6.221,APO (PHA)
Seleucus,K,2.033,0.456,33.52 trillion,5.02 trillion,6.289,AMO
1998 KU2,Cb,2.252,0.553,80.32 trillion,11.95 trillion,6.302,APO
1989 UQ,B,0.915,0.265,600.73 billion,87.58 billion,6.402,ATE (PHA)
1999 KV4,B,1.54,0.371,25.68 trillion,3.73 trillion,6.384,APO
1988 XB,B,1.468,0.482,217.07 billion,31.31 billion,6.411,APO (PHA)
1997 RT,O,2.247,0.524,174.31 billion,24.24 billion,6.498,AMO
1997 XF11,Xk,1.443,0.484,383.99 billion,52.97 billion,6.548,APO (PHA)
1996 FG3,C,1.054,0.35,1.33 trillion,181.34 billion,6.607,APO (PHA)
1992 QN,X,1.19,0.359,253.70 billion,34.53 billion,6.601,APO
2001 TY44,X,2.358,0.522,3.50 billion,473.52 million,6.583,AMO
1999 JV6,Xk,1.008,0.311,12.03 billion,1.59 billion,6.7,APO (PHA)
2002 EA,L,1.378,0.423,672.12 million,87.43 million,6.747,APO
2001 HK31,X,2.437,0.575,1.33 billion,172.64 million,6.725,AMO
2005 YU55,C,1.157,0.431,49.84 billion,6.23 billion,6.907,APO (PHA)
1992 BF,Xc,0.908,0.272,2.90 billion,357.67 million,6.982,ATE
2001 PD1,K,2.234,0.458,646.08 billion,80.77 billion,6.859,AMO
Lucianotesi,Xc,1.325,0.118,53.17 billion,6.49 billion,6.988,AMO
2002 CS11,X,2.019,0.404,766.16 million,94.41 million,6.921,AMO
1992 NA,C,2.398,0.555,4.55 trillion,547.95 billion,7.005,AMO
2002 AV,K,2.47,0.659,17.79 billion,2.14 billion,7.023,APO (PHA)
2002 BM26,X,1.833,0.444,77.75 billion,9.25 billion,7.074,AMO (PHA)
1999 NC43,Q,1.759,0.579,2.61 billion,307.19 million,7.131,APO (PHA)
2000 CO101,Xk,1.076,0.09,29.27 billion,3.39 billion,7.237,APO (PHA)
Dionysus,Cb,2.199,0.542,2.62 trillion,304.03 billion,7.181,APO (PHA)
1999 CF9,Q,1.773,0.6,152.75 million,17.52 million,7.248,APO (PHA)
2002 AH29,K,2.409,0.561,7.77 billion,892.46 million,7.212,AMO
1986 DA,M,2.822,0.582,4.25 trillion,484.74 billion,7.229,AMO
1996 BZ3,X,2.644,0.527,73.17 billion,8.35 billion,7.236,AMO
